Row 1,Row 2,Row 3
-65.80886,-68.41796,2
-66.12762,-67.62329,3
-66.83913,-66.99631,4
-67.26959,-66.72313,5
-67.43976,-66.6671,6
-68.20406,-66.68334,7
-69.66558,-66.36526,8
-69.40968,-65.62025,9
-68.55313,-65.68743,10
-69.85731,-65.97962,11
-71.40511,-64.75302,12
-70.37694,-63.89091,13
s-71.54974,-64.08789,14
-73.37477,-62.89473,15
-72.29179,-63.03743,16
-70.63038,-63.48992,17
-71.37644,-62.56077,18
-73.58428,-61.83055,19
-73.82505,-62.24034,20
-74.07707,-62.55973,21
-76.66772,-62.09772,22
-77.58517,-61.98542,23
-76.70944,-62.84749,24
-78.92716,-63.45717,25
-82.3672,-62.69069,26
-82.01644,-61.99772,27
-81.30014,-62.40747,28
-82.21897,-63.11791,29
-88.35739,-63.53871,30
-99.6352,-63.9901,31
-94.26202,-64.12013,32
-81.15396,-63.91316,33
-86.06267,-64.29781,34
-85.13358,-65.41752,35
-81.19727,-66.5964,36
-83.65827,-67.17324,37
-81.83777,-67.03954,38
-78.12989,-67.49869,39
-77.20511,-69.56394,40
-77.79783,-71.57785,41
-75.37778,-72.24234,42
-71.98993,-74.02088,43
-71.97525,-76.05128,44
-74.35328,-75.26707,45
-73.74216,-75.68085,46
-72.28347,-79.68669,47
-73.27998,-85.31377,48
-72.70034,-96.63936,49
-70.27918,-94.36879,50
-70.24335,-91.01042,51
-71.26431,-84.42262,52
-70.12214,-78.94574,53
-68.69488,-78.24653,54
-68.15061,-77.66308,55
-67.48719,-74.47055,56
-66.56658,-72.02288,57
-65.77974,-70.68696,58
-65.62487,-70.28724,59
-66.00102,-70.45887,60
-65.54069,-69.03661,61
-64.72641,-67.34323,62
-65.27046,-67.72116,63
-66.21386,-68.0868,64
-65.8232,-66.58559,65
-65.42293,-66.26036,66
-65.66609,-67.4425,67
-65.87755,-67.21016,68
-66.40137,-66.12799,69
-66.92563,-66.07279,70
-66.7107,-66.27452,71
-66.67857,-65.8433,72
-66.66591,-64.98521,73
-65.89614,-64.31778,74
-65.47464,-64.18434,75
-65.58164,-63.7622,76
-65.23017,-62.83296,77
-64.58767,-62.40886,78
-63.87417,-62.10668,79
-63.49697,-61.31207,80
-64.45495,-61.18244,81
-65.71368,-62.07373,82
-65.04003,-62.58473,83
-64.2529,-62.32293,84
-64.9119,-62.23998,85
-65.59719,-62.52691,86
-65.46994,-62.80352,87
-65.34191,-62.5127,88
-65.22244,-61.90524,89
-64.96711,-61.91859,90
-64.6039,-62.05183,91
-64.29979,-61.25547,92
-64.54551,-60.39523,93
-64.61162,-60.09994,94
-63.64434,-59.83154,95
-63.18004,-59.67172,96
-64.12517,-59.90418,97
-65.25624,-60.17066,98
-65.89587,-60.48933,99
-66.78964,-60.90407,100
-67.61742,-60.89469,101
-68.05612,-60.73279,102
-68.67742,-60.8444,103
-69.91786,-60.86975,104
-72.94279,-61.02816,105
-77.20208,-61.54027,106
-76.07922,-61.52408,107
-73.81967,-61.11615,108
-76.6775,-61.23621,109
-84.92985,-61.42297,110
